"","zip"
"1892",78535
"1893",78536
"1894",78537
"1895",78538
"1896",78539
"1897",78540
"1898",78541
"1899",78542
"1900",78543
"1901",78545
"1902",78547
"1903",78548
"1904",78549
"1905",78550
"1906",78551
"1907",78552
"1908",78553
"1909",78557
"1910",78558
"1911",78559
"1912",78560
"1913",78561
"1914",78562
"1915",78563
"1916",78564
"1917",78565
"1918",78566
"1919",78567
"1920",78568
"1921",78569
"1922",78570
"1923",78572
"1924",78573
"1925",78574
"1926",78575
"1927",78576
"1928",78577
"1929",78578
"1930",78579
"1931",78580
"1932",78582
"1933",78583
"1934",78584
"1935",78585
"1936",78586
"1937",78588
"1938",78589
"1939",78590
"1940",78591
"1941",78592
"1942",78593
"1943",78594
"1944",78595
"1945",78596
"1946",78597
"1947",78598
"1948",78599
"1949",78602
"1950",78604
"1951",78605
"1952",78606
"1953",78607
"1954",78608
"1955",78609
"1956",78610
"1957",78611
"1958",78612
"1959",78613
"1960",78614
"1961",78615
"1962",78616
"1963",78617
"1964",78618
"1965",78619
"1966",78620
"1967",78621
"1968",78622
"1969",78623
"1970",78624
"1971",78626
"1972",78627
"1973",78628
"1974",78629
"1975",78630
"1976",78631
"1977",78632
"1978",78633
"1979",78634
"1980",78635
"1981",78636
"1982",78638
"1983",78639
"1984",78640
"1985",78641
"1986",78642
"1987",78643
"1988",78644
"1989",78645
"1990",78646
"1991",78648
"1992",78650
"1993",78651
"1994",78652
"1995",78653
"1996",78654
"1997",78655
"1998",78656
"1999",78657
"2000",78658
"2001",78659
"2002",78660
"2003",78661
"2004",78662
"2005",78663
"2006",78664
"2007",78665
"2008",78666
"2009",78667
"2010",78669
"2011",78670
"2012",78671
"2013",78672
"2014",78673
"2015",78674
"2016",78675
"2017",78676
"2018",78677
"2019",78680
"2020",78681
"2021",78682
"2022",78683
"2023",78691
"2024",78701
"2025",78702
"2026",78703
"2027",78704
"2028",78705
"2029",78708
"2030",78709
"2031",78710
"2032",78711
"2033",78712
"2034",78713
"2035",78714
"2036",78715
"2037",78716
"2038",78717
"2039",78718
"2040",78719
"2041",78720
"2042",78721
"2043",78722
"2044",78723
"2045",78724
"2046",78725
"2047",78726
"2048",78727
"2049",78728
"2050",78729
"2051",78730
"2052",78731
"2053",78732
"2054",78733
"2055",78734
"2056",78735
"2057",78736
"2058",78737
"2059",78738
"2060",78739
"2061",78741
"2062",78742
"2063",78744
"2064",78745
"2065",78746
"2066",78747
"2067",78748
"2068",78749
"2069",78750
"2070",78751
"2071",78752
"2072",78753
"2073",78754
"2074",78755
"2075",78756
"2076",78757
"2077",78758
"2078",78759
"2079",78760
"2080",78761
"2081",78762
"2082",78763
"2083",78764
"2084",78765
"2085",78766
"2086",78767
"2087",78768
"2088",78769
"2089",78772
"2090",78773
"2091",78774
"2092",78778
"2093",78779
"2094",78780
"2095",78781
"2096",78783
"2097",78785
"2098",78786
"2099",78788
"2100",78789
"2101",78798
"2102",78799
"2103",78801
"2104",78802
"2105",78827
"2106",78828
"2107",78829
"2108",78830
"2109",78832
"2110",78833
"2111",78834
"2112",78836
"2113",78837
"2114",78838
"2115",78839
"2116",78840
"2117",78841
"2118",78842
"2119",78843
"2120",78847
"2121",78850
"2122",78851
"2123",78852
"2124",78853
"2125",78860
"2126",78861
"2127",78870
"2128",78871
"2129",78872
"2130",78873
"2131",78877
"2132",78879
"2133",78880
"2134",78881
"2135",78883
"2136",78884
"2137",78885
